,texts,labels
21,"It beats me why any Baggins of Hobbiton should go looking for a wife away there in Buckland, where folks are so queer.’ ‘And no wonder they’re queer,’ put in Daddy Twofoot (the Gaffer’s next-door neig","hbour), ‘if they live on the wrong side of the Brandywine River, and right agin the Old Forest."
22,"That’s a dark bad place, if half the tales be true.’ ‘You’re right, Dad!’ said the Gaffer.",
23,"‘Not that the Brandybucks of Buckland live in the Old Forest; but they’re a queer breed, seem- ingly.",
24,They fool about with boats on that big river – and that isn’t natural.,
25,"Small wonder that trouble came of it, I say.",
26,"But be that as it may, Mr. Frodo is as nice a young hobbit as you could wish to meet.",
27,"Very much like Mr. Bilbo, and in more than looks.",
28,After all his father was a Baggins.,
29,"A decent respectable hobbit was Mr. Drogo Baggins; there was never much to tell of him, till he was drownded.’ ‘Drownded?’ said several voices.",
30,They had heard this and other,
31,"‘Well, so they say,’ said the Gaffer.",
32,"‘You see: Mr. Drogo, he married poor Miss Primula Brandybuck.",
33,"She was our Mr. Bilbo’s first cousin on the mother’s side (her mother being the youngest of the Old Took’s daughters); and Mr. Drogo was his second cousin.So Mr. Frodo is his first and second cousin, ","once removed either way, as the saying is, if you follow me."
34,"And Mr. Drogo was staying at Brandy Hall with his father-in-law, old Master Gorbadoc, as he often did after his marriage (him being partial to his vittles, and old Gorbadoc keeping a mighty generous t","able); and he went out boating on the Brandywine River; and he and his wife were drownded, and poor Mr. Frodo only a child and all.’ ‘I’ve heard they went on the water after dinner in the moonlight,’ said Old Noakes; ‘and it was Drogo’s weight as sunk the boat.’ ‘And I heard she pushed him in, and he pulled her in after him,’ said Sandyman, the Hobbiton miller.‘You shouldn’t listen to all you hear, Sandyman,’ said the Gaffer, who did not much like the miller."
35,‘There isn’t no call to go talking of pushing and pulling.,
36,Boats are quite tricky enough for those that sit still without looking further for the cause of trouble.,
37,"Anyway: there was this Mr. Frodo left an orphan and stranded, as you might say, among those queer Bucklanders, being brought up anyhow in Brandy Hall.",
38,"A regular warren, by all accounts.",
39,Old Master Gorbadoc never had fewer than a couple of hundred relations in the place.,
40,Mr.Bilbo never did a kinder deed than when he brought the lad back to live among decent folk.‘But I reckon it was a nasty knock for those Sackville-Bagginses.They thought they were going to get Bag En,"d, that time when he went off and was thought to be dead."
41,"And then he comes back and orders them off; and he goes on living and living, and never looking a day older, bless him!",
42,"And suddenly he produces an heir, and has all the papers made out proper.",
43,"The Sackville-Bagginses won’t never see the inside of Bag End now, or it is to be hoped not.’ ‘There’s a tidy bit of money tucked away up there, I hear tell,’ said a stranger, a visitor on business fr",om Michel Delving in the Westfarthing.
44,"‘All the top of your hill is full of tunnels packed with chests of gold and silver, and jools, by what I’ve heard.’ ‘Then you’ve heard more than I can speak to,’ answered the Gaffer.",
45,‘I know nothing about jools.,
46,"Mr. Bilbo is free with his money, and there seems no lack of it; but I know of no tunnel-making.",
47,"I saw Mr. Bilbo when he came back, a matter of sixty years ago, when I was a lad.",
48,"I’d not long come prentice to old Holman (him being my dad’s cousin), but he had me up at Bag End helping him to keep",
49,a pony and some mighty big bags and a couple of chests.,
50,"I don’t doubt they were mostly full of treasure he had picked up in foreign parts, where there be mountains of gold, they say; but there wasn’t enough to fill tunnels.",
51,But my lad Sam will know more about that.He’s in and out of Bag End.,
52,"Crazy about stories of the old days, he is, and he listens to all Mr. Bilbo’s tales.",
53,"Mr. Bilbo has learned him his letters – meaning no harm, mark you, and I hope no harm will come of it.‘Elves and Dragons!",
54,I says to him.,
55,Cabbages and potatoes are better for me and you.,
56,"Don’t go getting mixed up in the business of your betters, or you’ll land in trouble too big for you, I says to him.",
57,"And I might say it to others,’ he added with a look at the stranger and the miller.But the Gaffer did not convince his audience.",
58,"The legend of Bilbo’s wealth was now too firmly fixed in the minds of the younger generation of hobbits.‘Ah, but he has likely enough been adding to what he brought at first,’ argued the miller, voici",ng common opinion.
59,‘He’s often away from home.,
60,"And look at the outlandish folk that visit him: dwarves coming at night, and that old wandering conjuror, Gandalf, and all.You can say what you like, Gaffer, but Bag End’s a queer place, and its folk ","are queerer.’ ‘And you can say what you like, about what you know no more of than you do of boating, Mr. Sandyman,’ retorted the Gaffer, dislik- ing the miller even more than usual."
61,"‘If that’s being queer, then we could do with a bit more queerness in these parts.",
62,"There’s some not far away that wouldn’t offer a pint of beer to a friend, if they lived in a hole with golden walls.",
63,"But they do things proper at Bag End.Our Sam says that everyone’s going to be invited to the party, and there’s going to be presents, mark you, presents for all – this very month as is.’ That very mon","th was September, and as fine as you could ask."
64,"A day or two later a rumour (probably started by the knowledgeable Sam) was spread about that there were going to be fireworks – fire- works, what is more, such as had not been seen in the Shire for n","igh on a century, not indeed since the Old Took died.Days passed and The Day drew nearer."
65,An odd-looking waggon laden with odd-looking packages rolled into Hobbiton one evening and toiled up the Hill to Bag End.,
66,The startled hobbits peered out of lamplit doors to gape at it.,
67,"It was driven by outlandish folk, singing strange songs: dwarves with long beards and deep hoods.",
68,A few of them remained at Bag End.,
69,At the end of the second week in Sep-,
70,"He wore a tall pointed blue hat, a long grey cloak, and a silver scarf.He had a long white beard and bushy eyebrows that stuck out beyond the brim of his hat.",
71,Small hobbit-children ran after the cart all through Hobbiton and right up the hill.,
72,"It had a cargo of fireworks, as they rightly guessed.",
73,"At Bilbo’s front door the old man began to unload: there were great bundles of fireworks of all sorts and shapes, each labelled with a large red G and the elf-rune, .That was Gandalf ’s mark, of cours","e, and the old man was Gandalf the Wizard, whose fame in the Shire was due mainly to his skill with fires, smokes, and lights."
74,"His real business was far more difficult and dangerous, but the Shire-folk knew nothing about it.",
75,To them he was just one of the ‘attractions’ at the Party.,
76,Hence the excitement of the hobbit-children.,
77,"‘G for Grand!’ they shouted, and the old man smiled.",
78,"They knew him by sight, though he only appeared in Hobbi- ton occasionally and never stopped long; but neither they nor any but the oldest of their elders had seen one of his firework displays – they ","now belonged to a legendary past.When the old man, helped by Bilbo and some dwarves, had finished unloading, Bilbo gave a few pennies away; but not a single squib or cracker was forthcoming, to the disappointment of the onlookers.‘Run away now!’ said Gandalf."
79,"‘You will get plenty when the time comes.’ Then he disappeared inside with Bilbo, and the door was shut.",
80,"The young hobbits stared at the door in vain for a while, and then made off, feeling that the day of the party would never come.Inside Bag End, Bilbo and Gandalf were sitting at the open window of a s",mall room looking out west on to the garden.
81,The late afternoon was bright and peaceful.,
82,"The flowers glowed red and golden: snap- dragons and sunflowers, and nasturtians trailing all over the turf walls and peeping in at the round windows.‘How bright your garden looks!’ said Gandalf.‘Yes,",’ said Bilbo.
83,"‘I am very fond indeed of it, and of all the dear old Shire; but I think I need a holiday.’ ‘You mean to go on with your plan then?’ ‘I do.",
84,"I made up my mind months ago, and I haven’t changed it.’ ‘Very well.",
85,It is no good saying any more.,
86,"Stick to your plan – your whole plan, mind – and I hope it will turn out for the best, for you, and for all of us.’ ‘I hope so.",
87,"Anyway I mean to enjoy myself on Thursday, and have my little joke.’ ‘Who will laugh, I wonder?’ said Gandalf, shaking his head.",
88,"The next day more carts rolled up the Hill, and still more carts.There might have been some grumbling about ‘dealing locally’, but that very week orders began to pour out of Bag End for every kind of ","provision, commodity, or luxury that could be obtained in Hobbi- ton or Bywater or anywhere in the neighbourhood."
89,"People became enthusiastic; and they began to tick off the days on the calendar; and they watched eagerly for the postman, hoping for invitations.Before long the invitations began pouring out, and the"," Hobbiton post-office was blocked, and the Bywater post-office was snowed under, and voluntary assistant postmen were called for."
90,"There was a constant stream of them going up the Hill, carrying hundreds of polite variations on Thank you, I shall certainly come.A notice appeared on the gate at Bag End: no admittance except on par",ty business.
91,"Even those who had, or pretended to have Party Business were seldom allowed inside.",
92,"Bilbo was busy: writing invitations, ticking off answers, packing up presents, and making some private preparations of his own.",
93,"From the time of Gandalf ’s arrival he remained hidden from view.One morning the hobbits woke to find the large field, south of Bilbo’s front door, covered with ropes and poles for tents and pav- ilio",ns.
94,"A special entrance was cut into the bank leading to the road, and wide steps and a large white gate were built there.",
95,"The three hobbit-families of Bagshot Row, adjoining the field, were intensely interested and generally envied.",
96,Old Gaffer Gamgee stopped even pretending to work in his garden.The tents began to go up.,
97,"There was a specially large pavilion, so big that the tree that grew in the field was right inside it, and stood proudly near one end, at the head of the chief table.",
98,Lanterns were hung on all its branches.,
99,More promising still (to the hobbits’ mind): an enormous open-air kitchen was erected in the north corner of the field.,
100,"A draught of cooks, from every inn and eating-house for miles around, arrived to supplement the dwarves and other odd folk that were quartered at Bag End.",
101,Excitement rose to its height.Then the weather clouded over.,
102,That was on Wednesday the eve of the Party.,
103,Anxiety was intense.,
104,"Then Thursday, September the 22nd, actually dawned.",
105,"The sun got up, the clouds vanished, flags were unfurled and the fun began.Bilbo Baggins called it a party, but it was really a variety of enter- tainments rolled into one.",
106,Practically everybody living near was invited.,
107,"A very few were overlooked by accident, but as they turned up all the same, that did not matter.",
108,Many people from other parts oftheShirewerealsoasked;andtherewereevenafewfromoutside,
109,were those who went out again by a back way and came in again by the gate.,
110,"Hobbits give presents to other people on their own birthdays.Not very expensive ones, as a rule, and not so lavishly as on this occasion; but it was not a bad system.",
111,"Actually in Hobbiton and Bywater every day in the year was somebody’s birthday, so that every hobbit in those parts had a fair chance of at least one present at least once a week.",
112,But they never got tired of them.On this occasion the presents were unusually good.,
113,The hobbit- children were so excited that for a while they almost forgot about eating.,
114,"There were toys the like of which they had never seen before, all beautiful and some obviously magical.",
115,"Many of them had indeed been ordered a year before, and had come all the way from the Mountain and from Dale, and were of real dwarf-make.When every guest had been welcomed and was finally inside the ","gate, there were songs, dances, music, games, and, of course, food and drink."
116,"There were three official meals: lunch, tea, and dinner (or supper).",
117,But lunch and tea were marked chiefly by the fact that at those times all the guests were sitting down and eating together.At other times there were merely lots of people eating and drinking –continuo,"usly from elevenses until six-thirty, when the fireworks started.The fireworks were by Gandalf: they were not only brought by him, but designed and made by him; and the special effects, set pieces, and flights of rockets were let off by him."
118,"But there was also a generous distribution of squibs, crackers, backarappers, sparklers, torches, dwarf-candles, elf-fountains, goblin-barkers and thunder- claps.",
119,They were all superb.,
120,The art of Gandalf improved with age.There were rockets like a flight of scintillating birds singing with sweet voices.,
121,"There were green trees with trunks of dark smoke: their leaves opened like a whole spring unfolding in a moment, and their shining branches dropped glowing flowers down upon the astonished hobbits, di",sappearing with a sweet scent just before they touched their upturned faces.
122,"There were fountains of butterflies that flew glittering into the trees; there were pillars of coloured fires that rose and turned into eagles, or sailing ships, or a phalanx of flying swans; there wa","s a red thunderstorm and a shower of yellow rain; there was a forest of silver spears that sprang suddenly into the air with a yell like an embattled army, and came down again into the Water with a hiss like a hundred hot snakes."
123,"And there was also one last surprise, in honour of Bilbo, and it startled the hobbits exceedingly, as Gandalf intended.",
124,The lights went out.,
125,A great smoke went up.,
126,"It shaped itself like a mountain seen in the distance, and began to glow at the",
127,"his eyes glared down; there was a roar, and he whizzed three times over the heads of the crowd.",
128,"They all ducked, and many fell flat on their faces.",
129,"The dragon passed like an express train, turned a somer- sault, and burst over Bywater with a deafening explosion.‘That is the signal for supper!’ said Bilbo.",
130,"The pain and alarm vanished at once, and the prostrate hobbits leaped to their feet.",
131,"There was a splendid supper for everyone; for everyone, that is, except those invited to the special family dinner-party.",
132,This was held in the great pavilion with the tree.,
133,"The invitations were limited to twelve dozen (a number also called by the hobbits one Gross, though the word was not considered proper to use of people); and the guests were selected from all the fami","lies to which Bilbo and Frodo were related, with the addition of a few special unrelated friends (such as Gandalf ).Many young hobbits were included, and present by parental per- mission; for hobbits were easy-going with their children in the matter of sitting up late, especially when there was a chance of getting them a free meal."
134,"Bringing up young hobbits took a lot of provender.There were many Bagginses and Boffins, and also many Tooks and Brandybucks; there were various Grubbs (relations of Bilbo Baggins’ grandmother), and v","arious Chubbs (connexions of his Took grand- father); and a selection of Burrowses, Bolgers, Bracegirdles, Brock- houses, Goodbodies, Hornblowers and Proudfoots."
135,"Some of these were only very distantly connected with Bilbo, and some had hardly ever been in Hobbiton before, as they lived in remote corners of the Shire.",
136,The Sackville-Bagginses were not forgotten.,
137,Otho and his wife Lobelia were present.,
138,"They disliked Bilbo and detested Frodo, but so magnificent was the invitation card, written in golden ink, that they had felt it was impossible to refuse.",
139,"Besides, their cousin, Bilbo, had been specializing in food for many years and his table had a high reputation.All the one hundred and forty-four guests expected a pleasant feast; though they rather d",readed the after-dinner speech of their host (an inevitable item).
140,"He was liable to drag in bits of what he called poetry; and sometimes, after a glass or two, would allude to the absurd adventures of his mysterious journey.",
141,"The guests were not disappointed: they had a very pleasant feast, in fact an engrossing entertainment: rich, abundant, varied, and prolonged.",
142,"The purchase of provisions fell almost to nothing throughout the district in the ensuing weeks; but as Bilbo’s catering had depleted the stocks of most of the stores, cellars and warehouses for miles ","around, that did not matter much.After the feast (more or less) came the Speech."
143,Most of the com-,
144,"favourite drinks, and nibbling at their favourite dainties, and their fears were forgotten.",
145,"They were prepared to listen to anything, and to cheer at every full stop.My dear People, began Bilbo, rising in his place.",
146,‘Hear!,
147,Hear!,
148,"Hear!’ they shouted, and kept on repeating it in chorus, seeming reluctant to follow their own advice.",
149,Bilbo left his place and went and stood on a chair under the illuminated tree.,
150,The light of the lanterns fell on his beaming face; the golden buttons shone on his embroidered silk waistcoat.,
151,"They could all see him standing, waving one hand in the air, the other was in his trouser-pocket.My dear Bagginses and Boffins, he began again; and my dear Tooks and Brandybucks, and Grubbs, and Chubb","s, and Burrowses, and Horn- blowers, and Bolgers, Bracegirdles, Goodbodies, Brockhouses and Proudfoots.‘Proudfeet!’ shouted an elderly hobbit from the back of the pavilion.His name, of course, was Proudfoot, and well merited; his feet were large, exceptionally furry, and both were on the table.Proudfoots, repeated Bilbo."
152,Also my good Sackville-Bagginses that I welcome back at last to Bag End.,
153,Today is my one hundred and eleventh birthday: I am eleventy-one today!,
154,‘Hurray!,
155,Hurray!,
156,"Many Happy Returns!’ they shouted, and they hammered joyously on the tables.Bilbo was doing splendidly.",
157,This was the sort of stuff they liked: short and obvious.I hope you are all enjoying yourselves as much as I am.,
158,Deafening cheers.,
159,Cries of Yes (and No).,
160,"Noises of trumpets and horns, pipes and flutes, and other musical instruments.",
161,"There were, as has been said, many young hobbits present.",
162,Hundreds of musical crackers had been pulled.,
163,"Most of them bore the mark dale on them; which did not convey much to most of the hobbits, but they all agreed they were marvellous crackers.",
164,"They contained instruments, small, but of perfect make and enchanting tones.",
165,"Indeed, in one corner some of the young Tooks and Brandybucks, supposing Uncle Bilbo to have finished (since he had plainly said all that was necessary), now got up an impromptu orchestra, and began a", merry dance-tune.
166,"Master Everard Took and Miss Melilot Brandybuck got on a table and with bells in their hands began to dance the Springle-ring: a pretty dance, but rather vigorous.But Bilbo had not finished.",
167,"Seizing a horn from a youngster nearby, he blew three loud hoots.",
168,The noise subsided.,
169,"I shall not keep you long, he cried.",
170,Cheers from all the assembly.,
171,I have called you all together for a Purpose.,
172,Something in the way that he said this made an impression.,
173,"There was almost silence, and one or two of the Tooks pricked up their ears.",
174,among such excellent and admirable hobbits.,
175,Tremendous outburst of approval.I don’t know half of you half as well as I should like; and I like less than half of you half as well as you deserve.,
176,This was unexpected and rather difficult.,
177,"There was some scattered clapping, but most of them were trying to work it out and see if it came to a compliment.Secondly, to celebrate my birthday.",
178,Cheers again.,
179,I should say: OUR birthday.,
180,"For it is, of course, also the birthday of my heir and nephew, Frodo.",
181,He comes of age and into his inheritance today.,
182,Some perfunctory clapping by the elders; and some loud shouts of ‘Frodo!,
183,Frodo!,
184,"Jolly old Frodo,’ from the juniors.",
185,"The Sackville-Bagginses scowled, and wondered what was meant by ‘coming into his inheritance’.Together we score one hundred and forty-four.",
186,"Your numbers were chosen to fit this remarkable total: One Gross, if I may use the expression.No cheers.",
187,This was ridiculous.,
188,"Many of the guests, and especially the Sackville-Bagginses, were insulted, feeling sure they had only been asked to fill up the required number, like goods in a package.‘One Gross, indeed!",
189,"Vulgar expression.’ It is also, if I may be allowed to refer to ancient history, the anniversary of my arrival by barrel at Esgaroth on the Long Lake; though the fact that it was my birthday slipped m",y memory on that occasion.
190,"I was only fifty-one then, and birthdays did not seem so important.",
191,"The banquet was very splendid, however, though I had a bad cold at the time, I remember, and could only say ‘thag you very buch’.",
192,I now repeat it more correctly: Thank you very much for coming to my little party.,
193,Obstinate silence.They all feared that a song or some poetry was now imminent; and they were getting bored.,
194,Why couldn’t he stop talking and let them drink his health?,
195,But Bilbo did not sing or recite.,
196,"He paused for a moment.Thirdly and finally, he said, I wish to make an ANNOUNCEMENT.He spoke this last word so loudly and suddenly that everyone sat up who still could.",
197,"I regret to announce that – though, as I said, eleventy-one years is far too short a time to spend among you – this is the END.",
198,I am going.,
199,I am leaving NOW.,
200,GOOD-BYE!,
201,He stepped down and vanished.,
202,"There was a blinding flash of light, and the guests all blinked.",
203,When they opened their eyes Bilbo was nowhere to be seen.,
204,One hundred and forty-four flabbergasted hobbits sat back speechless.,
205,Old Odo Proudfoot removed his feet from the table and stamped.,
206,"Then there was a dead silence, until suddenly, after several deep breaths, every Baggins, Boffin, Took, Brandybuck, Grubb, Chubb, Burrows, Bolger, Bracegirdle, Brock-",
207,food and drink were needed to cure the guests of shock and annoyance.‘He’s mad.,
208,"I always said so,’ was probably the most popular comment.Even the Tooks (with a few exceptions) thought Bilbo’s behaviour was absurd.",
209,For the moment most of them took it for granted that his disappearance was nothing more than a ridiculous prank.But old Rory Brandybuck was not so sure.,
210,"Neither age nor an enormous dinner had clouded his wits, and he said to his daughter-in- law, Esmeralda: ‘There’s something fishy in this, my dear!",
211,I believe that mad Baggins is off again.,
212,Silly old fool.,
213,But why worry?,
214,He hasn’t taken the vittles with him.’ He called loudly to Frodo to send the wine round again.Frodo was the only one present who had said nothing.,
215,"For some time he had sat silent beside Bilbo’s empty chair, and ignored all remarks and questions.",
216,"He had enjoyed the joke, of course, even though he had been in the know.",
217,He had difficulty in keeping from laughter at the indignant surprise of the guests.,
218,But at the same time he felt deeply troubled: he realized suddenly that he loved the old hobbit dearly.,
219,"Most of the guests went on eating and drinking and discussing Bilbo Baggins’ oddities, past and present; but the Sackville-Bagginses had already departed in wrath.",
220,Frodo did not want to have any more to do with the party.,
221,"He gave orders for more wine to be served; then he got up and drained his own glass silently to the health of Bilbo, and slipped out of the pavilion.As for Bilbo Baggins, even while he was making his ","speech, he had been fingering the golden ring in his pocket: his magic ring that he had kept secret for so many years."
222,"As he stepped down he slipped it on his finger, and he was never seen by any hobbit in Hobbiton again.He walked briskly back to his hole, and stood for a moment listen- ing with a smile to the din in ","the pavilion, and to the sounds of merrymaking in other parts of the field."
223,Then he went in.,
224,"He took off his party clothes, folded up and wrapped in tissue-paper his embroidered silk waistcoat, and put it away.",
225,"Then he put on quickly some old untidy garments, and fastened round his waist a worn leather belt.",
226,On it he hung a short sword in a battered black-leather scabbard.,
227,"From a locked drawer, smelling of moth-balls, he took out an old cloak and hood.",
228,"They had been locked up as if they were very precious, but they were so patched and weatherstained that their original colour could hardly be guessed: it might have been dark green.",
229,They were rather too large for him.,
230,"He then went into his study, and from a large strong-box took out a bundle wrapped in",
231,"bag that was standing there, already nearly full.",
232,"Into the envelope he slipped his golden ring, and its fine chain, and then sealed it, and addressed it to Frodo.",
233,"At first he put it on the mantelpiece, but suddenly he removed it and stuck it in his pocket.",
234,At that moment the door opened and Gandalf came quickly in.‘Hullo!’ said Bilbo.,
235,"‘I wondered if you would turn up.’ ‘I am glad to find you visible,’ replied the wizard, sitting down in a chair, ‘I wanted to catch you and have a few final words.",
236,"I suppose you feel that everything has gone off splendidly and according to plan?’ ‘Yes, I do,’ said Bilbo.",
237,"‘Though that flash was surprising: it quite startled me, let alone the others.",
238,"A little addition of your own, I suppose?’ ‘It was.",
239,"You have wisely kept that ring secret all these years, and it seemed to me necessary to give your guests something else that would seem to explain your sudden vanishment.’ ‘And would spoil my joke.",
240,"You are an interfering old busybody,’ laughed Bilbo, ‘but I expect you know best, as usual.’ ‘I do – when I know anything.",
241,But I don’t feel too sure about this whole affair.,
242,It has now come to the final point.,
243,"You have had your joke, and alarmed or offended most of your relations, and given the whole Shire something to talk about for nine days, or ninety-nine more likely.",
244,"Are you going any further?’ ‘Yes, I am.",
245,"I feel I need a holiday, a very long holiday, as I have told you before.",
246,Probably a permanent holiday: I don’t expect I shall return.,
247,"In fact, I don’t mean to, and I have made all arrangements.‘I am old, Gandalf.",
248,"I don’t look it, but I am beginning to feel it in my heart of hearts.",
249,Well-preserved indeed!’ he snorted.,
250,"‘Why, I feel all thin, sort of stretched, if you know what I mean: like butter that has been scraped over too much bread.",
251,That can’t be right.,
252,"I need a change, or something.’ Gandalf looked curiously and closely at him.",
253,"‘No, it does not seem right,’ he said thoughtfully.",
254,"‘No, after all I believe your plan is probably the best.’ ‘Well, I’ve made up my mind, anyway.",
255,"I want to see mountains again, Gandalf – mountains; and then find somewhere where I can rest.",
256,"In peace and quiet, without a lot of relatives prying around, and a string of confounded visitors hanging on the bell.",
257,I might find somewhere where I can finish my book.,
258,I have thought of a nice ending for it: and he lived happily ever after to the end of his days.’ Gandalf laughed.,
259,‘I hope he will.,
260,"But nobody will read the book, however it ends.’ ‘Oh, they may, in years to come.",
261,"Frodo has read some already, as",
262,"‘He would come with me, of course, if I asked him.",
263,"In fact he offered to once, just before the party.",
264,"But he does not really want to, yet.",
265,"I want to see the wild country again before I die, and the Mountains; but he is still in love with the Shire, with woods and fields and little rivers.",
266,He ought to be comfortable here.,
267,"I am leaving everything to him, of course, except a few oddments.",
268,"I hope he will be happy, when he gets used to being on his own.",
269,It’s time he was his own master now.’ ‘Everything?’ said Gandalf.,
270,‘The ring as well?,
271,"You agreed to that, you remember.’ ‘Well, er, yes, I suppose so,’ stammered Bilbo.‘Where is it?’ ‘In an envelope, if you must know,’ said Bilbo impatiently.",
272,‘There on the mantelpiece.,
273,"Well, no!",
274,Here it is in my pocket!’ He hesitated.‘Isn’t that odd now?’ he said softly to himself.,
275,"‘Yet after all, why not?",
276,"Why shouldn’t it stay there?’ Gandalf looked again very hard at Bilbo, and there was a gleam in his eyes.‘I think, Bilbo,’ he said quietly, ‘I should leave it behind.Don’t you want to?’ ‘Well yes – an",d no.
277,"Now it comes to it, I don’t like parting with it at all, I may say.",
278,And I don’t really see why I should.,
279,"Why do you want me to?’ he asked, and a curious change came over his voice.",
280,It was sharp with suspicion and annoyance.,
281,"‘You are always badgering me about my ring; but you have never bothered me about the other things that I got on my journey.’ ‘No, but I had to badger you,’ said Gandalf.",
282,‘I wanted the truth.It was important.,
283,"Magic rings are – well, magical; and they are rare and curious.",
284,"I was professionally interested in your ring, you may say; and I still am.",
285,"I should like to know where it is, if you go wandering again.",
286,"Also I think you have had it quite long enough.You won’t need it any more, Bilbo, unless I am quite mistaken.’ Bilbo flushed, and there was an angry light in his eyes.",
287,His kindly face grew hard.,
288,‘Why not?’ he cried.,
289,"‘And what business is it of yours, anyway, to know what I do with my own things?",
290,It is my own.,
291,I found it.,
292,"It came to me.’ ‘Yes, yes,’ said Gandalf.",
293,"‘But there is no need to get angry.’ ‘If I am it is your fault,’ said Bilbo.",
294,"‘It is mine, I tell you.",
295,My own.My Precious.,
296,"Yes, my Precious.’ The wizard’s face remained grave and attentive, and only a flicker in his deep eyes showed that he was startled and indeed alarmed.",
297,"‘It has been called that before,’ he said, ‘but not by you.’ ‘But I say it now.",
298,And why not?,
299,Even if Gollum said the same,
300,"Bilbo,’ he said.",
301,‘You make that clearer with every word you say.,
302,It has got far too much hold on you.,
303,Let it go!,
304,"And then you can go yourself, and be free.’ ‘I’ll do as I choose and go as I please,’ said Bilbo obstinately.‘Now, now, my dear hobbit!’ said Gandalf.",
305,"‘All your long life we have been friends, and you owe me something.",
306,Come!,
307,"Do as you promised: give it up!’ ‘Well, if you want my ring yourself, say so!’ cried Bilbo.",
308,‘But you won’t get it.,
309,"I won’t give my Precious away, I tell you.’ His hand strayed to the hilt of his small sword.Gandalf ’s eyes flashed.",
310,"‘It will be my turn to get angry soon,’ he said.",
311,"‘If you say that again, I shall.",
312,"Then you will see Gandalf the Grey uncloaked.’ He took a step towards the hobbit, and he seemed to grow tall and menacing; his shadow filled the little room.Bilbo backed away to the wall, breathing ha","rd, his hand clutching at his pocket."
313,"They stood for a while facing one another, and the air of the room tingled.",
314,"Gandalf ’s eyes remained bent on the hobbit.Slowly his hands relaxed, and he began to tremble.‘I don’t know what has come over you, Gandalf,’ he said.",
315,‘You have never been like this before.,
316,What is it all about?,
317,It is mine isn’t it?,
318,"I found it, and Gollum would have killed me, if I hadn’t kept it.I’m not a thief, whatever he said.’ ‘I have never called you one,’ Gandalf answered.",
319,‘And I am not one either.,
320,"I am not trying to rob you, but to help you.",
321,"I wish you would trust me, as you used.’ He turned away, and the shadow passed.",
